FECHA,HORA,AUTO DESIGNADO,NOMBRE RESERVA,ORIGEN,DESTINO,ESTADO,COMENTARIOS
2025-02-19,11:30:00,TOMÁS,Antonio Martellone,HOTEL VITACURA,CLUB HOUSE,OK,2 Autos Grandes
2025-02-20,08:30:00,JUAN PABLO,Hawkeye (2 AUTOS),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,09:30:00,VICTOR,Ignacio buse +1,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,10:00:00,CAMILA,Kilian Feldbausch + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:00:00,DJAMIL,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:00:00,,Juanma Cerundolo + Coach,HOTEL BOSQUE,HOTEL BOSQUE,OK,
2025-02-20,10:00:00,,Juan Pablo Varillas + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:30:00,IGNACIO,Djere + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:30:00,CAMILA,Corentin Moutet + 3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,10:30:00,DIEGO S,Crionet,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,10:30:00,,Juampi Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,11:00:00,JUAN PABLO,Leonardo Mayer,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,11:30:00,,Pol Martin,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,11:30:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,12:00:00,,Dimitar Trifunovski,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,12:30:00,,Matteo Grigatti,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,15:00:00,,Kilian Fedelbausch,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-20,16:30:00,STEFANO,Thiago Wild,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-20,16:30:00,,Diaz Acosta,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,08:30:00,,Hawkeye,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Moutet +3 ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Djere + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,09:30:00,,Hugo Gaston,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:00:00,,Diego Junqueira + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:00:00,,Juanma Cerundolo,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:00:00,,Kilian Feldbausch,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:00:00,,Fran Piantini ,HOTEL BOSQUE,CLUB HOUSE,CANCELADO,
2025-02-21,10:00:00,,Crionet (2 Autos),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,10:30:00,,Gustavo Heide,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,10:30:00,,Juampi Ficovich +2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:30:00,,Arnau Brugues,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,10:30:00,,Yannick Hanfmann,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,10:30:00,,Burrucha + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,11:00:00,,Vallejo/Cabello,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,11:00:00,,Ignacio Buse,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,11:00:00,,Thiago Wild + 2,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,11:00:00,,Pol Martin,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,11:30:00,,Dimitar trifunovski,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-21,12:00:00,,Hidalgo + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,12:00:00,,Gonzalo escobar + 1,HOTEL BOSQUE,CLUB HOUSE,CANCELADO,
2025-02-21,13:00:00,,Nico Jarry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,13:00:00,,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,13:00:00,,Diaz acosta,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-21,15:00:00,,Coria,HOTEL BOSQUE,CLUB HOUSE,PENDIENTE,
2025-02-21,15:00:00,,Kilian Feldbausch,HOTEL BOSQUE,CLUB HOUSE,PENDIENTE,
2025-02-21,16:00:00,,Felipe Meligeni,HOTEL VITACURA,CLUB HOUSE,PENDIENTE,
2025-02-22,07:00:00,ALONSO,Hawkeye (2 Autos),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,09:00:00,LUIS,Diego Junqueira,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:00:00,,Nicolas Barrientos,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,DIEGO,Felipe Meligeni,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Tilly,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Emilio Nava,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Dimitar Trifunovski,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Juampi Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Kilian Felds,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Yannick Hanfmann,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Orlando luz,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Vallejo/Cabello,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Hugo Gaston,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Fran Piantini,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Diego Hidalgo,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Burruchaga + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Ryan Seggerman,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,09:30:00,,Crionet (2 Autos),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,10:00:00,,Rogerio Santos,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,10:00:00,,Pol Martin,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,10:00:00,,Nahuel Zabala,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,10:00:00,,Monteiro,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,10:30:00,,Jorge Ducci,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,10:30:00,,Umpaire (3 Autos o 2 grandes),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,10:30:00,,Cerundolo,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,10:30:00,,Thiago Wild ,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,10:30:00,,Coria,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,11:00:00,,Joao Pedro,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,11:00:00,,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,11:00:00,,Andreozzi,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,11:30:00,,JP Smith,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,11:30:00,,Ignacio buse,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,11:30:00,,Melissa ATP PR TEAM,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-22,12:00:00,,Nico jarry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,12:00:00,,Genaro Olivieri,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,12:30:00,,Gonzalo Escobar,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,12:30:00,,Laslo Djere,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,12:30:00,,Azul Garcia,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,12:30:00,,Diaz Acosta,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,13:00:00,,Gregoire Jacq,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,13:00:00,,Dzumhur Damir,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,15:00:00,,Nicolas Barrientos,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,15:30:00,,Vallejo + 2,HOTEL VITACURA,AEROPUERTO,OK,
2025-02-22,15:30:00,,Karol Drzewiecki,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,16:00:00,,Yannick Hanfmann + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,16:00:00,,Monteiro + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,16:30:00,,Shevchenko + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,17:00:00,,Jaime Farias,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,17:30:00,,Susana ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,18:00:00,,Dante Gennaro,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-22,18:00:00,,Fernanda Romboli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:00:00,,Diego Junqueira + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:00:00,,Felipe Meligeni,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,09:00:00,,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Cerundolo,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Orlando Luz + 3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Francesca Piantini,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Moutet + 3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Juampi Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Burruchaga + coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Luciano Darderi ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Crionet 2 AUTOS,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,09:30:00,,Diaz Acosta,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Alexandra Granda,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Arnau/Steiner/Santos,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Kilian + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-03-23,10:00:00,,Tilly,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Gustavo Heide + 2,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Tomy Etcheverry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Crionet 1 AUTO,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Molteni y hood,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Cabello 2 maletas grandes,HOTEL VITACURA,AEROPUERTO,OK,
2025-02-23,10:00:00,,Nahuel Zabala Fisioterapeuta ,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Dzumhur Damir,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:00:00,,Fernando Romboli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Tomak / stevez / dimitar,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Rafael Maia (arbitros),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Jose Miguel Sierra (arbitros),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Laslo djere,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Cabral + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Jorge Ducci + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Smith + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Miguel Retamales (arbitros),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Nico Jarry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,10:30:00,,Alen,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,11:00:00,,Pol Martin,HOTEL VITACURA,HOTEL BOSQUE,OK,
2025-02-23,11:00:00,,Ignacio Buse,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,11:00:00,,Monteiro+2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,11:00:00,,Thiago Wild,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,11:30:00,,Diego hidalgo,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,11:30:00,,Alexander,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,11:30:00,,Melissa ATP PR TEAM,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-23,11:30:00,,Ryan Seggerman,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,11:30:00,,Jaime Faria,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:00:00,,Mariano Navone,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:00:00,,Jorge Salkeld,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:00:00,,Pol martin,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:30:00,,Luca del federico,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:30:00,,Azul garcia,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:30:00,,Andreozzi,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:30:00,,Karol Dezewiecki,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,12:30:00,,Nicolas Barrientos,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,13:00:00,,Gregoire Jacq,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,13:00:00,,Theo Arribage,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,13:00:00,,Coria,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,13:30:00,,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,14:30:00,,Susana,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,17:40:00,,Tomy Etcheverry,CLUB HOUSE,OTRO,OK,
2025-02-23,18:30:00,,Shevchenko alex,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-23,19:30:00,,Buse,HOTEL VITACURA,HOTEL BOSQUE,OK,
2025-02-24,09:00:00,HANS,Nicolas Barrientos,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,09:00:00,LUIS,Pol Martin,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,09:00:00,SEBASTIAN R,Francisco ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,09:30:00,CAMILA,Moutet +3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,09:30:00,LUCAS,Tomás Etcheverry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,09:30:00,VANESSA,Diaz Acosta,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Camilo Carabelli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Yannick Hanfmann +2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Marcelo Zormann,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Francisco y Luz,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Arnau tour manager,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Crionet 2 AUTOS,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Kilian Feldbausch,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,Luciano Darderi +2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:00:00,,John Patrick Smith + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Orlando Luz,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Andres Molteni+2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Juampi Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Buse (PUNTUAL),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Thiago Wild,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Melissa ATP PR team,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Jaime faria,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Ignacio Cervantes,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,10:30:00,,Ryan Seggerman,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Diego Hidalgo,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Djere and coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Cerundolo juan manuel,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Diego Junqueira +2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Gregorie Jacq,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Shevchenko Alex,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Alexandra Granda,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Joao pedro Duarte+2,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Scott Fleming,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Crionet 1 auto (Comparte Tilly),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Tilly Comparte con Crionet,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Andreozzi,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:00:00,,Theo arribage,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Francesca Piantini,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Francisco Cabral +2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Felipe Meligeni,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Rogerio Santos,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Fernando Romboli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Leonardo Mayer,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Mariano Navone,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,11:30:00,,Karol Drzewiecki +1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,12:00:00,,Fernando Baron,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,12:00:00,,Hugo Gastón,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,12:00:00,,Nahuel,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,12:00:00,,Roman Burruchaga,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,12:30:00,,Miguel retamales,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,12:30:00,,Patricio Estevez,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,12:30:00,,Rafael Maia,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,12:30:00,,Jorge Ducci y Analia Vera,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,12:30:00,,Tomek,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,12:30:00,,Rojer,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,13:00:00,,Luca del Federico,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,13:00:00,,Dzumhur Damir,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,13:00:00,,Nico Jarry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,13:00:00,,Thiago Tirante,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,13:00:00,,Mariano Bruno,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,14:00:00,,Coria + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,14:00:00,,Azul García,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,14:30:00,,Scott Fleming,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,14:30:00,,Claudio García ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,15:30:00,,Matias Soto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,15:30:00,,Nicolás ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,16:30:00,,Thiago Wild,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,16:30:00,,Fernando Romboli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,16:30:00,,Monteiro + ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,17:30:00,,Joao Duarte,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,17:30:00,,Juampa Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,19:30:00,,Miro Bratoev,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,08:30:00,FERNANDO ,Dante Gennaro,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:00:00,LUIS,Wallner and Schnsitter,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:00:00,VICTOR,Thiago Tirante ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:30:00,LUIS,Diego Hidalgo ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:30:00,SEBASTIAN R,Tomás Etcheverry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:30:00,SEBASTIAN F,Diego Junqueira ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Moutet +3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Kilian Feldbausch,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Leonardo Mayer,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Hugo Gaston ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Luciano Darderi,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Molteni + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Monteiro + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Crionet (2 Autos),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Sebastián Garbini,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Barrientos Bollipalli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Ryan Seggerman,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Camilo Carabelli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Sebastián Prieto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Orlando luz,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Hawkeye,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Pedro Martinez ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Coach Nico Jarry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Dzumhur Damir,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Fran Piantini + 2,HOTEL BOSQUE,HOTEL VITACURA,OK,
2025-02-25,11:30:00,,Djere + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
